pattern,example_count,min_len,sequences
00000000,163,0,
00010001,73,1,"(3,4,8)"
00010010,73,1,"(3,4,7)"
00010022,7,1,"(3,4,7)"
00010100,73,1,"(3,4,6)"
00010202,7,1,"(3,4,6)"
00010220,7,1,"(3,4,6)"
00010222,4,1,"(3,4,6)"
00011000,73,1,"(3,4,5)"
00012002,7,1,"(3,4,5)"
00012020,7,1,"(3,4,5)"
00012022,4,1,"(3,4,5)"
00012200,7,1,"(3,4,5)"
00012202,4,1,"(3,4,5)"
00012220,4,1,"(3,4,5)"
00012222,1,1,"(3,4,5)"
00100001,73,1,"(2,3,8)"
00100010,73,1,"(2,3,7)"
00100022,7,1,"(2,3,7)"
00100100,73,1,"(2,3,6)"
00100202,7,1,"(2,3,6)"
00100220,7,1,"(2,3,6)"
00100222,4,1,"(2,3,6)"
00101000,73,1,"(2,3,5)"
00102002,7,1,"(2,3,5)"
00102020,7,1,"(2,3,5)"
00102022,4,1,"(2,3,5)"
00102200,7,1,"(2,3,5)"
00102202,4,1,"(2,3,5)"
00102220,4,1,"(2,3,5)"
00102222,1,1,"(2,3,5)"
00110011,40,2,"(2,3,7) (1,4,8)"
00110101,40,2,"(2,3,6) (1,4,8)"
00110110,40,2,"(2,3,6) (1,4,7)"
00110122,4,2,"(2,3,6) (1,4,7)"
00110212,4,2,"(2,3,6) (1,4,7)"
00110221,4,2,"(2,3,6) (1,4,8)"
00110333,3,2,"(2,3,6) (1,4,7)"
00111001,40,2,"(2,3,5) (1,4,8)"
00111010,40,2,"(2,3,5) (1,4,7)"
00111022,4,2,"(2,3,5) (1,4,7)"
00111100,40,2,"(2,3,5) (1,4,6)"
00111202,4,2,"(2,3,5) (1,4,6)"
00111220,4,2,"(2,3,5) (1,4,6)"
00111222,3,2,"(2,3,5) (1,4,6)"
00112012,4,2,"(2,3,5) (1,4,7)"
00112021,4,2,"(2,3,5) (1,4,8)"
00112102,4,2,"(2,3,5) (1,4,6)"
00112120,4,2,"(2,3,5) (1,4,6)"
00112122,3,2,"(2,3,5) (1,4,6)"
00112201,4,2,"(2,3,5) (1,4,8)"
00112210,4,2,"(2,3,5) (1,4,7)"
00112212,3,2,"(2,3,5) (1,4,7)"
00112221,3,2,"(2,3,5) (1,4,8)"
00113033,3,2,"(2,3,5) (1,4,7)"
00113303,3,2,"(2,3,5) (1,4,6)"
00113330,3,2,"(2,3,5) (1,4,6)"
00113333,1,2,"(2,3,5) (1,4,6)"
00220001,7,1,"(2,3,8)"
00220010,7,1,"(2,3,7)"
00220100,7,1,"(2,3,6)"
00221000,7,1,"(2,3,5)"
01000001,73,1,"(1,2,8)"
01000010,73,1,"(1,2,7)"
01000022,7,1,"(1,2,7)"
01000100,73,1,"(1,2,6)"
01000202,7,1,"(1,2,6)"
01000220,7,1,"(1,2,6)"
01000222,4,1,"(1,2,6)"
01001000,73,1,"(1,2,5)"
01002002,7,1,"(1,2,5)"
01002020,7,1,"(1,2,5)"
01002022,4,1,"(1,2,5)"
